         595791 function calls (592985 primitive calls) in 6.322 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      602    1.931    0.003    1.931    0.003 {built-in method posix.stat}
      338    1.218    0.004    1.218    0.004 {method 'read' of '_ssl._SSLSocket' objects}
      148    0.809    0.005    0.809    0.005 {built-in method _io.open_code}
      148    0.378    0.003    0.378    0.003 {method 'read' of '_io.BufferedReader' objects}
        1    0.372    0.372    0.372    0.372 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
      148    0.319    0.002    0.319    0.002 {method '__exit__' of '_io._IOBase' objects}
        1    0.098    0.098    0.102    0.102 {built-in method _socket.getaddrinfo}
       20    0.083    0.004    0.083    0.004 {built-in method posix.listdir}
     4278    0.076    0.000    0.393    0.000 /usr/lib/python3.12/html/parser.py:320(parse_starttag)
    35814    0.059    0.000    0.059    0.000 {method 'match' of 're.Pattern' objects}
        2    0.054    0.027    0.663    0.332 /usr/lib/python3.12/html/parser.py:135(goahead)
        1    0.045    0.045    0.045    0.045 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.040    0.040    0.040    0.040 {method 'connect' of '_socket.socket' objects}
     4278    0.037    0.000    0.052    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/bs4/builder/__init__.py:382(_replace_cdata_list_attribute_values)
     4278    0.030    0.000    0.179    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/bs4/__init__.py:990(handle_starttag)
     4057    0.028    0.000    0.046    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/bs4/__init__.py:870(object_was_parsed)
      148    0.027    0.000    0.027    0.000 {built-in method marshal.loads}
    276/3    0.024    0.000    3.715    1.238 {built-in method builtins.exec}
     4279    0.023    0.000    0.087    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/bs4/element.py:1813(__init__)
     8882    0.022    0.000    0.113    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/bs4/__init__.py:829(endData)
    12393    0.022    0.000    0.022    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/bs4/element.py:382(setup)
     4049    0.021    0.000    0.151    0.000 /usr/lib/python3.12/html/parser.py:398(parse_endtag)
     4278    0.020    0.000    0.207    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/bs4/builder/_htmlparser.py:142(handle_starttag)
      279    0.020    0.000    0.020    0.000 {method 'decompress' of 'zlib.Decompress' objects}
    21766    0.017    0.000    0.017    0.000 {method 'group' of 're.Match' objects}
     4278    0.014    0.000    0.119    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/bs4/builder/_htmlparser.py:204(handle_endtag)
     4277    0.014    0.000    0.028    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/bs4/__init__.py:953(_popToTag)
    12761    0.014    0.000    0.014    0.000 {method 'search' of 're.Pattern' objects}
    17023    0.013    0.000    0.024    0.000 /usr/lib/python3.12/_markupbase.py:44(updatepos)
4635/4519    0.013    0.000    0.018    0.000 {built-in method __new__ of type object at 0xa43b40}
  445/441    0.013    0.000    0.041    0.000 {built-in method builtins.__build_class__}
     4279    0.012    0.000    0.015    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/bs4/__init__.py:812(pushTag)
     4057    0.012    0.000    0.025    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/bs4/element.py:1478(__new__)
     6777    0.012    0.000    0.012    0.000 {method 'join' of 'str' objects}
     4057    0.011    0.000    0.017    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/bs4/__init__.py:735(string_container)
    29849    0.011    0.000    0.011    0.000 {method 'append' of 'list' objects}
35000/34958    0.011    0.000    0.012    0.000 {built-in method builtins.isinstance}
    23723    0.011    0.000    0.011    0.000 {method 'get' of 'dict' objects}
    12428    0.010    0.000    0.010    0.000 {method 'count' of 'str' objects}
    22855    0.010    0.000    0.010    0.000 {method 'lower' of 'str' objects}
9367/9350    0.009    0.000    0.026    0.000 /usr/lib/python3.12/typing.py:392(inner)
     4278    0.009    0.000    0.010    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/bs4/__init__.py:789(popTag)
    22917    0.008    0.000    0.008    0.000 {method 'end' of 're.Match' objects}
     4278    0.008    0.000    0.029    0.000 /usr/lib/python3.12/html/parser.py:364(check_for_whole_start_tag)
    14893    0.008    0.000    0.008    0.000 {method 'startswith' of 'str' objects}
     4277    0.008    0.000    0.105    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/bs4/__init__.py:1056(handle_endtag)
        2    0.008    0.004    0.008    0.004 {built-in method _codecs.utf_8_decode}
