         595791 function calls (592985 primitive calls) in 6.322 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    35814    0.059    0.000    0.059    0.000 {method 'match' of 're.Pattern' objects}
35000/34958    0.011    0.000    0.012    0.000 {built-in method builtins.isinstance}
    29849    0.011    0.000    0.011    0.000 {method 'append' of 'list' objects}
    23723    0.011    0.000    0.011    0.000 {method 'get' of 'dict' objects}
    22917    0.008    0.000    0.008    0.000 {method 'end' of 're.Match' objects}
    22855    0.010    0.000    0.010    0.000 {method 'lower' of 'str' objects}
    21766    0.017    0.000    0.017    0.000 {method 'group' of 're.Match' objects}
19173/18421    0.006    0.000    0.007    0.000 {built-in method builtins.len}
    17023    0.013    0.000    0.024    0.000 /usr/lib/python3.12/_markupbase.py:44(updatepos)
    14893    0.008    0.000    0.008    0.000 {method 'startswith' of 'str' objects}
    13724    0.003    0.000    0.003    0.000 /usr/lib/python3.12/typing.py:2154(cast)
    12761    0.014    0.000    0.014    0.000 {method 'search' of 're.Pattern' objects}
    12428    0.010    0.000    0.010    0.000 {method 'count' of 'str' objects}
    12393    0.022    0.000    0.022    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/bs4/element.py:382(setup)
10342/10341    0.006    0.000    0.009    0.000 {built-in method builtins.next}
     9926    0.004    0.000    0.019    0.000 /usr/lib/python3.12/html/__init__.py:122(unescape)
9367/9350    0.009    0.000    0.026    0.000 /usr/lib/python3.12/typing.py:392(inner)
     8882    0.022    0.000    0.113    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/bs4/__init__.py:829(endData)
     8673    0.004    0.000    0.004    0.000 {method 'start' of 're.Match' objects}
     8383    0.003    0.000    0.003    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/bs4/element.py:3090(descendants)
     8371    0.006    0.000    0.025    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/bs4/filter.py:726(match)
     6777    0.012    0.000    0.012    0.000 {method 'join' of 'str' objects}
     5338    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
     5219    0.003    0.000    0.003    0.000 {method 'endswith' of 'str' objects}
     4755    0.002    0.000    0.002    0.000 {method 'pop' of 'list' objects}
4635/4519    0.013    0.000    0.018    0.000 {built-in method __new__ of type object at 0xa43b40}
     4358    0.002    0.000    0.002    0.000 {method 'strip' of 'str' objects}
     4297    0.001    0.000    0.001    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/bs4/element.py:2414(__bool__)
     4295    0.005    0.000    0.016    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/bs4/filter.py:540(matches_tag)
     4279    0.002    0.000    0.002    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/bs4/builder/__init__.py:636(set_up_substitutions)
     4279    0.012    0.000    0.015    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/bs4/__init__.py:812(pushTag)
     4279    0.023    0.000    0.087    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/bs4/element.py:1813(__init__)
     4279    0.002    0.000    0.002    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/bs4/builder/__init__.py:290(can_be_empty_element)
     4278    0.009    0.000    0.010    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/bs4/__init__.py:789(popTag)
     4278    0.037    0.000    0.052    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/bs4/builder/__init__.py:382(_replace_cdata_list_attribute_values)
     4278    0.030    0.000    0.179    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/bs4/__init__.py:990(handle_starttag)
     4278    0.008    0.000    0.029    0.000 /usr/lib/python3.12/html/parser.py:364(check_for_whole_start_tag)
     4278    0.020    0.000    0.207    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/bs4/builder/_htmlparser.py:142(handle_starttag)
     4278    0.076    0.000    0.393    0.000 /usr/lib/python3.12/html/parser.py:320(parse_starttag)
     4278    0.002    0.000    0.002    0.000 /usr/lib/python3.12/_markupbase.py:36(getpos)
     4278    0.014    0.000    0.119    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/bs4/builder/_htmlparser.py:204(handle_endtag)
     4278    0.004    0.000    0.006    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/bs4/element.py:2007(is_empty_element)
     4277    0.014    0.000    0.028    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/bs4/__init__.py:953(_popToTag)
     4277    0.008    0.000    0.105    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/bs4/__init__.py:1056(handle_endtag)
     4268    0.002    0.000    0.002    0.000 {method 'keys' of 'dict' objects}
     4215    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
     4099    0.003    0.000    0.004    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/bs4/__init__.py:1068(handle_data)
     4057    0.028    0.000    0.046    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/bs4/__init__.py:870(object_was_parsed)
     4057    0.011    0.000    0.017    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/bs4/__init__.py:735(string_container)
     4057    0.012    0.000    0.025    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/bs4/element.py:1478(__new__)
     4049    0.021    0.000    0.151    0.000 /usr/lib/python3.12/html/parser.py:398(parse_endtag)
     4049    0.002    0.000    0.002    0.000 /usr/lib/python3.12/html/parser.py:128(clear_cdata_mode)
     3936    0.004    0.000    0.008    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/bs4/builder/_htmlparser.py:222(handle_data)
     3551    0.001    0.000    0.001    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/bs4/filter.py:259(_base_match)
     3268    0.006    0.000    0.006    0.000 {method 'findall' of 're.Pattern' objects}
     2830    0.002    0.000    0.003    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/bs4/filter.py:292(matches_string)
     2823    0.007    0.000    0.010    0.000 /usr/lib/python3.12/html/__init__.py:91(_replace_charref)
     2659    0.001    0.000    0.001    0.000 {built-in method builtins.chr}
     2409    0.006    0.000    0.007    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/bs4/__init__.py:909(_linkage_fixer)
     1938    0.001    0.000    0.001    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/httpcore/_exceptions.py:7(map_exceptions)
     1547    0.001    0.000    0.001    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/h11/_connection.py:224(their_state)
     1389    0.002    0.000    0.004    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/bs4/filter.py:629(_match_attribute_value_helper)
     1378    0.001    0.000    0.002    0.000 {built-in method builtins.hasattr}
     1254    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     1250    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
     1194    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     1064    0.001    0.000    0.002    0.000 /usr/lib/python3.12/typing.py:1134(_is_dunder)
      983    0.002    0.000    0.004    0.000 /usr/lib/python3.12/contextlib.py:299(helper)
      983    0.002    0.000    0.003    0.000 /usr/lib/python3.12/contextlib.py:104(__init__)
      983    0.001    0.000    0.002    0.000 /usr/lib/python3.12/contextlib.py:132(__enter__)
      982    0.002    0.000    0.003    0.000 /usr/lib/python3.12/contextlib.py:141(__exit__)
      969    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
      940    0.002    0.000    0.003    0.000 /usr/lib/python3.12/typing.py:1188(__setattr__)
      917    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
      917    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      827    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      814    0.001    0.000    0.001    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/bs4/element.py:2355(get)
      721    0.003    0.000    0.008    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/bs4/filter.py:618(_attribute_match)
      721    0.000    0.000    0.001    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/bs4/filter.py:321(matches_tag)
      678    0.000    0.000    0.000    0.000 /usr/lib/python3.12/ssl.py:1083(_checkClosed)
      676    0.001    0.000    0.001    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/h11/_receivebuffer.py:60(__len__)
      650    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      639    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:645(parent)
      639    0.000    0.000    0.000    0.000 /usr/lib/python3.12/typing.py:1252(__eq__)
      627    0.005    0.000    0.015    0.000 {method 'sub' of 're.Pattern' objects}
      625    0.002    0.000    0.014    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/h11/_connection.py:410(_extract_next_receive_event)
      625    0.003    0.000    0.025    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/h11/_connection.py:438(next_event)
      612    0.001    0.000    0.001    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/h11/_receivebuffer.py:77(maybe_extract_at_most)
      602    1.931    0.003    1.931    0.003 {built-in method posix.stat}
      602    0.001    0.000    1.932    0.003 <frozen importlib._bootstrap_external>:140(_path_stat)
      592    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
  585/584    0.003    0.000    0.005    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/h11/_readers.py:156(__call__)
      568    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      568    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      568    0.000    0.000    0.000    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/httpx/_decoders.py:237(decode)
  526/381    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      505    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:240(__next)
      473    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      473    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      452    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
  445/441    0.013    0.000    0.041    0.000 {built-in method builtins.__build_class__}
      444    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      444    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      409    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      409    0.000    0.000    0.001    0.000 /usr/lib/python3.12/re/_parser.py:168(__getitem__)
      407    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
      403    0.000    0.000    0.000    0.000 /usr/lib/python3.12/dataclasses.py:461(<genexpr>)
      395    0.000    0.000    0.000    0.000 /usr/lib/python3.12/typing.py:1246(<genexpr>)
      354    0.001    0.000    0.002    0.000 {built-in method builtins.max}
      344    0.001    0.000    0.001    0.000 {method 'settimeout' of '_socket.socket' objects}
    343/6    0.001    0.000    3.716    0.619 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      338    0.001    0.000    1.219    0.004 /usr/lib/python3.12/ssl.py:1095(read)
      338    0.001    0.000    0.001    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/h11/_receivebuffer.py:53(__iadd__)
      338    0.000    0.000    0.001    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/h11/_receivebuffer.py:57(__bool__)
      338    0.001    0.000    0.001    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/h11/_connection.py:364(receive_data)
      338    0.002    0.000    1.227    0.004 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/httpcore/_backends/sync.py:124(read)
      338    1.218    0.004    1.218    0.004 {method 'read' of '_ssl._SSLSocket' objects}
      338    0.001    0.000    1.220    0.004 /usr/lib/python3.12/ssl.py:1226(recv)
      333    0.000    0.000    0.000    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/h11/_receivebuffer.py:67(_extract)
      311    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      303    0.000    0.000    0.000    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/h11/_connection.py:217(our_state)
