('Total Revenue', '293,812,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         956122 function calls (931836 primitive calls) in 13.337 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    5.060    5.060    5.060    5.060 {built-in method time.sleep}
      868    2.347    0.003    2.347    0.003 {built-in method posix.stat}
      370    1.629    0.004    1.629    0.004 {method 'read' of '_ssl._SSLSocket' objects}
      165    0.667    0.004    0.667    0.004 {built-in method _io.open_code}
        1    0.488    0.488    0.488    0.488 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        1    0.325    0.325    0.325    0.325 {built-in method _socket.getaddrinfo}
        1    0.308    0.308    0.308    0.308 {method 'connect' of '_socket.socket' objects}
      165    0.257    0.002    0.257    0.002 {method '__exit__' of '_io._IOBase' objects}
      234    0.228    0.001    0.480    0.002 {method 'read' of '_io.BufferedReader' objects}
        1    0.226    0.226    0.226    0.226 {method 'do_handshake' of '_ssl._SSLSocket' objects}
       20    0.124    0.006    0.124    0.006 {built-in method posix.listdir}
     4288    0.090    0.000    0.478    0.000 parser.py:320(parse_starttag)
    38536    0.077    0.000    0.077    0.000 {method 'match' of 're.Pattern' objects}
 4760/199    0.069    0.000    0.190    0.001 _parser.py:512(_parse)
        2    0.064    0.032    0.796    0.398 parser.py:135(goahead)
      165    0.043    0.000    0.043    0.000 {built-in method marshal.loads}
      267    0.042    0.000    0.042    0.000 {method 'decompress' of 'zlib.Decompress' objects}
     4288    0.040    0.000    0.059    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
 5522/191    0.040    0.000    0.090    0.000 _compiler.py:37(_compile)
     4288    0.036    0.000    0.215    0.000 __init__.py:990(handle_starttag)
    12403    0.032    0.000    0.032    0.000 element.py:382(setup)
    96440    0.030    0.000    0.030    0.000 {method 'append' of 'list' objects}
     4289    0.028    0.000    0.102    0.000 element.py:1813(__init__)
     8902    0.027    0.000    0.125    0.000 __init__.py:829(endData)
      9/7    0.026    0.003    0.045    0.006 {built-in method _imp.create_dynamic}
     4288    0.025    0.000    0.250    0.000 _htmlparser.py:142(handle_starttag)
     4059    0.025    0.000    0.171    0.000 parser.py:398(parse_endtag)
76277/69981    0.024    0.000    0.027    0.000 {built-in method builtins.len}
        1    0.024    0.024    0.024    0.024 models.py:909(text)
    22157    0.023    0.000    0.023    0.000 {method 'group' of 're.Match' objects}
66284/66272    0.022    0.000    0.022    0.000 {built-in method builtins.isinstance}
  547/542    0.019    0.000    0.216    0.000 {built-in method builtins.__build_class__}
      268    0.018    0.000    0.063    0.000 response.py:137(decompress)
4792/4762    0.018    0.000    0.021    0.000 {built-in method __new__ of type object at 0xa43b40}
     4289    0.018    0.000    0.021    0.000 __init__.py:812(pushTag)
    29577    0.018    0.000    0.027    0.000 _parser.py:168(__getitem__)
    12855    0.018    0.000    0.018    0.000 {method 'search' of 're.Pattern' objects}
     4287    0.017    0.000    0.036    0.000 __init__.py:953(_popToTag)
     4057    0.017    0.000    0.046    0.000 __init__.py:870(object_was_parsed)
     4288    0.017    0.000    0.134    0.000 _htmlparser.py:204(handle_endtag)
 1271/191    0.017    0.000    0.192    0.001 _parser.py:452(_parse_sub)
    12454    0.016    0.000    0.016    0.000 {method 'count' of 'str' objects}
    27842    0.016    0.000    0.016    0.000 {method 'get' of 'dict' objects}
        1    0.016    0.016    0.129    0.129 dammit.py:128(_populate_class_variables)
    17063    0.015    0.000    0.032    0.000 _markupbase.py:44(updatepos)
     4057    0.015    0.000    0.031    0.000 element.py:1478(__new__)
      902    0.014    0.000    0.022    0.000 _compiler.py:243(_optimize_charset)
    16696    0.013    0.000    0.020    0.000 _parser.py:261(get)
 5469/372    0.013    0.000    0.021    0.000 _parser.py:178(getwidth)
    23740    0.013    0.000    0.013    0.000 {method 'lower' of 'str' objects}
       22    0.012    0.001    0.340    0.015 {method 'join' of 'bytes' objects}
     4057    0.011    0.000    0.019    0.000 __init__.py:735(string_container)
     4288    0.011    0.000    0.012    0.000 __init__.py:789(popTag)
9352/9325    0.011    0.000    0.027    0.000 typing.py:392(inner)
    25515    0.010    0.000    0.010    0.000 _parser.py:240(__next)
    18430    0.010    0.000    0.010    0.000 {method 'startswith' of 'str' objects}
      416    0.010    0.000    1.682    0.004 <frozen importlib._bootstrap_external>:1593(find_spec)
     2410    0.010    0.000    0.011    0.000 __init__.py:909(_linkage_fixer)
    23624    0.010    0.000    0.010    0.000 {method 'end' of 're.Match' objects}
     4288    0.009    0.000    0.036    0.000 parser.py:364(check_for_whole_start_tag)
     4287    0.009    0.000    0.117    0.000 __init__.py:1056(handle_endtag)
       40    0.008    0.000    0.042    0.001 filter.py:130(filter)
    217/3    0.008    0.000    4.244    1.415 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     2829    0.008    0.000    0.012    0.000 __init__.py:91(_replace_charref)
    13231    0.008    0.000    0.011    0.000 _parser.py:256(match)
     3270    0.008    0.000    0.008    0.000 {method 'findall' of 're.Pattern' objects}
      975    0.007    0.000    0.019    0.000 {method 'sub' of 're.Pattern' objects}
     8381    0.007    0.000    0.026    0.000 filter.py:726(match)
    14511    0.007    0.000    0.007    0.000 {built-in method builtins.min}
    12537    0.006    0.000    0.009    0.000 _parser.py:164(__len__)
     2230    0.006    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      165    0.006    0.000    0.050    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
7597/7529    0.006    0.000    0.006    0.000 {method 'join' of 'str' objects}
      496    0.005    0.000    0.007    0.000 css_types.py:41(__init__)
      313    0.005    0.000    0.319    0.001 __init__.py:280(_compile)
     7468    0.005    0.000    0.008    0.000 _parser.py:176(append)
     4305    0.005    0.000    0.017    0.000 filter.py:540(matches_tag)
